scope,feature,fold_count,mean_standardized_coefficient,sign,mean_absolute_magnitude,positive_fold_fraction,negative_fold_fraction
aggregate,xz_carry_lag_1,17,0.0016028239067159733,positive,0.0025866383826916267,0.9411764705882353,0.058823529411764705
aggregate,log_return_lag_0,17,0.0013881493756344302,positive,0.001456233418934728,0.9411764705882353,0.058823529411764705
aggregate,volatility_lag_0,17,0.0009831667837052712,positive,0.0009831667837052712,1.0,0.0
aggregate,sma20_ratio_lag_0,17,-0.004437111052375809,negative,0.004615171114317217,0.058823529411764705,0.9411764705882353
aggregate,mom24_lag_0,17,0.0016787498776179223,positive,0.0018017681875063627,0.9411764705882353,0.058823529411764705
aggregate,xz_mom24_lag_0,17,-0.0002077158940780788,negative,0.0002077158940780788,0.0,1.0
aggregate,xr_mom24_lag_0,17,-0.0001745780591939586,negative,0.0001745780591939586,0.0,1.0
aggregate,carry_annual_lag_0,17,-0.0010274595815139135,negative,0.0010505465533079865,0.23529411764705882,0.7647058823529411
aggregate,xz_carry_lag_0,17,0.0030672447649660634,positive,0.0030672447649660634,1.0,0.0
era:2009-2018,log_return_lag_31,10,0.00019294413582714794,positive,0.00019294413582714794,1.0,0.0
era:2009-2018,volatility_lag_31,10,-0.000320494952939508,negative,0.00038958780748797546,0.1,0.9
era:2009-2018,sma20_ratio_lag_31,10,-0.00042846110337013894,negative,0.0006043716104348158,0.4,0.6
era:2009-2018,mom24_lag_31,10,0.00013947838484383265,positive,0.00013947838484383265,1.0,0.0
era:2009-2018,xz_mom24_lag_31,10,-0.0004723591063954424,negative,0.0004723591063954424,0.0,1.0
era:2009-2018,xr_mom24_lag_31,10,0.0004250251883016725,positive,0.0004250251883016725,1.0,0.0
era:2009-2018,carry_annual_lag_31,10,0.0023309318130593265,positive,0.0024246887179042434,0.6,0.4
era:2009-2018,xz_carry_lag_31,10,-0.002741695236257394,negative,0.002741695236257394,0.0,1.0
era:2009-2018,log_return_lag_30,10,0.00019697260844687091,positive,0.0004733318715358167,0.9,0.1
era:2009-2018,volatility_lag_30,10,-8.0076086919603e-05,negative,0.0002109813061387307,0.7,0.3
era:2009-2018,sma20_ratio_lag_30,10,0.0012246383276338622,positive,0.001465370892633524,0.7,0.3
era:2009-2018,mom24_lag_30,10,5.823640769134393e-05,positive,9.903908047091608e-05,0.8,0.2
era:2009-2018,xz_mom24_lag_30,10,0.000363226315785005,positive,0.000363226315785005,1.0,0.0
era:2009-2018,xr_mom24_lag_30,10,-0.00034781108280407,negative,0.00034781108280407,0.0,1.0
era:2009-2018,carry_annual_lag_30,10,-0.005910898086693125,negative,0.005910898086693125,0.0,1.0
